id,Şehir,Tarih,Durum,Sıcaklık (°C)
317,Kutahya,2024-11-24,Güneşli,4.9
318,Kutahya,2024-11-25,Güneşli,6.9
319,Kutahya,2024-11-26,Güneşli,7.8
320,Kutahya,2024-11-27,Parçalı Bulutlu,8.6
321,Kutahya,2024-11-28,Güneşli,8.4
322,Corum,2024-11-15,Bölgesel düzensiz yağmur yağışlı,10.2
323,Corum,2024-11-16,Bölgesel düzensiz yağmur yağışlı,7.9
324,Corum,2024-11-17,Güneşli,6.3
325,Corum,2024-11-18,Bölgesel düzensiz yağmur yağışlı,7.1
326,Corum,2024-11-19,Bölgesel düzensiz yağmur yağışlı,7.6
327,Corum,2024-11-20,Güneşli,6.3
328,Corum,2024-11-21,Güneşli,10.6
329,Corum,2024-11-22,Bölgesel düzensiz yağmur yağışlı,12.4
330,Corum,2024-11-23,Bölgesel düzensiz yağmur yağışlı,9.9
331,Corum,2024-11-24,Güneşli,2.9
332,Corum,2024-11-25,Güneşli,6.7
333,Corum,2024-11-26,Güneşli,7.2
334,Corum,2024-11-27,Parçalı Bulutlu,8.0
335,Corum,2024-11-28,Güneşli,9.5
336,Kirikkale,2024-11-15,Parçalı Bulutlu,11.2
337,Kirikkale,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.6
338,Kirikkale,2024-11-17,Parçalı Bulutlu,5.4
339,Kirikkale,2024-11-18,Bölgesel düzensiz yağmur yağışlı,7.1
340,Kirikkale,2024-11-19,Bölgesel düzensiz yağmur yağışlı,7.3
341,Kirikkale,2024-11-20,Güneşli,6.2
342,Kirikkale,2024-11-21,Güneşli,9.7
343,Kirikkale,2024-11-22,Parçalı Bulutlu,11.1
344,Kirikkale,2024-11-23,Bölgesel düzensiz yağmur yağışlı,8.0
345,Kirikkale,2024-11-24,Güneşli,2.1
346,Kirikkale,2024-11-25,Güneşli,4.4
347,Kirikkale,2024-11-26,Güneşli,6.0
348,Kirikkale,2024-11-27,Bulutlu,6.7
349,Kirikkale,2024-11-28,Güneşli,8.9
350,Canakkale,2024-11-15,Bölgesel düzensiz yağmur yağışlı,13.0
351,Canakkale,2024-11-16,Bölgesel düzensiz yağmur yağışlı,10.4
352,Canakkale,2024-11-17,Çok bulutlu,10.2
353,Canakkale,2024-11-18,Güneşli,10.5
354,Canakkale,2024-11-19,Parçalı Bulutlu,11.4
355,Canakkale,2024-11-20,Parçalı Bulutlu,12.4
356,Canakkale,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.9
357,Canakkale,2024-11-22,Güneşli,11.6
358,Canakkale,2024-11-23,Bölgesel düzensiz yağmur yağışlı,9.8
359,Canakkale,2024-11-24,Güneşli,8.1
360,Canakkale,2024-11-25,Güneşli,9.8
361,Canakkale,2024-11-26,Güneşli,11.0
362,Canakkale,2024-11-27,Parçalı Bulutlu,11.6
363,Canakkale,2024-11-28,Güneşli,12.6
364,Elazig,2024-11-15,Güneşli,9.7
365,Elazig,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.1
366,Elazig,2024-11-17,Bölgesel düzensiz yağmur yağışlı,9.5
367,Elazig,2024-11-18,Orta kuvvetli yağmurlu,9.9
368,Elazig,2024-11-19,Bölgesel düzensiz yağmur yağışlı,9.9
369,Elazig,2024-11-20,Parçalı Bulutlu,8.3
370,Elazig,2024-11-21,Bölgesel düzensiz yağmur yağışlı,9.8
371,Elazig,2024-11-22,Bölgesel düzensiz yağmur yağışlı,10.3
372,Elazig,2024-11-23,Parçalı Bulutlu,9.8
373,Elazig,2024-11-24,Güneşli,10.5
374,Elazig,2024-11-25,Güneşli,6.9
375,Elazig,2024-11-26,Güneşli,7.5
376,Elazig,2024-11-27,Güneşli,9.6
377,Elazig,2024-11-28,Güneşli,8.5
378,Van,2024-11-15,Güneşli,6.5
379,Van,2024-11-16,Güneşli,5.3
380,Van,2024-11-17,Bölgesel düzensiz yağmur yağışlı,4.4
381,Van,2024-11-18,Bölgesel düzensiz yağmur yağışlı,4.8
382,Van,2024-11-19,Bölgesel düzensiz yağmur yağışlı,3.8
383,Van,2024-11-20,Bölgesel düzensiz yağmur yağışlı,3.5
384,Van,2024-11-21,Güneşli,3.7
385,Van,2024-11-22,Güneşli,4.0
386,Van,2024-11-23,Güneşli,5.5
387,Van,2024-11-24,Güneşli,6.0
388,Van,2024-11-25,Güneşli,6.2
389,Van,2024-11-26,Güneşli,5.7
390,Van,2024-11-27,Güneşli,5.4
391,Van,2024-11-28,Güneşli,4.7
392,Mugla,2024-11-15,Bölgesel düzensiz yağmur yağışlı,12.7
393,Mugla,2024-11-16,Orta kuvvetli yağmurlu,11.8
394,Mugla,2024-11-17,Orta kuvvetli yağmurlu,10.8
395,Mugla,2024-11-18,Bölgesel düzensiz yağmur yağışlı,9.7
396,Mugla,2024-11-19,Güneşli,10.0
397,Mugla,2024-11-20,Parçalı Bulutlu,8.5
398,Mugla,2024-11-21,Bölgesel düzensiz yağmur yağışlı,10.9
399,Mugla,2024-11-22,Bölgesel düzensiz yağmur yağışlı,12.6
400,Mugla,2024-11-23,Bölgesel düzensiz yağmur yağışlı,13.3
401,Mugla,2024-11-24,Güneşli,12.6
402,Mugla,2024-11-25,Güneşli,12.6
403,Mugla,2024-11-26,Güneşli,12.7
404,Mugla,2024-11-27,Güneşli,12.4
405,Mugla,2024-11-28,Güneşli,11.7
406,Ordu,2024-11-15,Bölgesel düzensiz yağmur yağışlı,12.3
407,Ordu,2024-11-16,Şiddetli yağmurlu,10.5
408,Ordu,2024-11-17,Bölgesel düzensiz yağmur yağışlı,10.2
409,Ordu,2024-11-18,Bölgesel düzensiz yağmur yağışlı,11.8
410,Ordu,2024-11-19,Şiddetli yağmurlu,10.4
411,Ordu,2024-11-20,Güneşli,10.0
412,Ordu,2024-11-21,Güneşli,14.3
413,Ordu,2024-11-22,Bölgesel düzensiz yağmur yağışlı,11.6
414,Ordu,2024-11-23,Orta kuvvetli yağmurlu,11.3
415,Ordu,2024-11-24,Bölgesel düzensiz yağmur yağışlı,7.4
416,Ordu,2024-11-25,Güneşli,9.0
417,Ordu,2024-11-26,Güneşli,8.8
418,Ordu,2024-11-27,Güneşli,10.1
419,Ordu,2024-11-28,Güneşli,11.2
420,Hatay,2024-11-15,Bölgesel düzensiz yağmur yağışlı,15.4
421,Hatay,2024-11-16,Bölgesel düzensiz yağmur yağışlı,15.5
422,Hatay,2024-11-17,Orta kuvvetli yağmurlu,14.7
423,Hatay,2024-11-18,Şiddetli yağmurlu,12.9
424,Hatay,2024-11-19,Bölgesel düzensiz yağmur yağışlı,12.6
425,Hatay,2024-11-20,Bölgesel düzensiz yağmur yağışlı,11.9
426,Hatay,2024-11-21,Güneşli,14.4
427,Hatay,2024-11-22,Parçalı Bulutlu,15.8
428,Hatay,2024-11-23,Parçalı Bulutlu,16.3
429,Hatay,2024-11-24,Güneşli,15.5
430,Hatay,2024-11-25,Güneşli,15.4
431,Hatay,2024-11-26,Güneşli,15.5
432,Hatay,2024-11-27,Güneşli,15.0
433,Hatay,2024-11-28,Güneşli,14.7
434,Afyonkarahisar,2024-11-15,Bölgesel düzensiz yağmur yağışlı,9.4
435,Afyonkarahisar,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.4
